指标,原Gold,F→P全TP,说明
诊断 TP,0,5,
诊断 FP,0,0,
诊断 FN,32,27,
诊断 PRECISION,N/A,100.00%,
诊断 RECALL,0.00%,15.62%,
诊断 F1,0.00%,27.03%,
修复 TP,0,5,
修复 FP,0,0,
修复 FN,32,27,
修复 PRECISION,N/A,100.00%,
修复 RECALL,0.00%,15.62%,
修复 F1,0.00%,27.03%,
定位命中数,0,0,独立内容判定保留
Location accuracy,N/A,0.00%,原定位命中/对应版本诊断TP
诊断评分任务数,15,15,独立内容判定保留
实质修改bundle数,0,0,独立内容判定保留
回归bundle数,0,0,独立内容判定保留
回归缺陷数,0,0,独立内容判定保留
内容回归率,N/A,N/A,独立内容判定保留
尝试但失败的Gold修复数,0,0,独立内容判定保留
有害额外修改数,0,0,独立内容判定保留
疑似新缺陷数,0,0,独立内容判定保留
task_count,15,15,
total_gold_defect_count,32,32,
evaluated_task_count,15,15,
evaluated_gold_defect_count,32,32,
scored_task_count,15,15,
skipped_original_pass_task_count,0,0,
skipped_gold_defect_count,0,0,
skipped_original_pass_rate,0.00%,0.00%,
confidence_task_count,15,15,
total_judgment_count,47,47,
low_confidence_count,0,0,
low_confidence_rate,0.00%,0.00%,
review_item_count,0,0,
blocking_review_count,0,0,
平均/最低置信度,0.9968 / 0.9900,0.9968 / 0.9900,
