task_id,status,proposal_only,validation_status,model,elapsed_wall_time_sec,diagnosis_stage_wall_sec,repair_stage_wall_sec,diagnosis_api_calls,repair_api_calls,diagnosis_stage_tokens,repair_stage_tokens,api_calls_append_only,api_wall_sec,diagnosis_api_sec,repair_api_sec,api_total_tokens,api_prompt_tokens,api_completion_tokens,candidate_skill_ids
azure-bgp-oscillation-route-leak,complete,True,not_run,gpt-4.1,24.157824724912643,9.796796068549156,8.14255078136921,2,1,5629,4884,3,17.033902697265148,9.480287119746208,7.55361557751894,10513,9758,755,azure-bgp
bike-rebalance,complete,True,not_run,gpt-4.1,34.74897692352533,10.120585106313229,8.096901334822178,2,1,9526,9122,3,17.280707009136677,9.770698964595795,7.510008044540882,18648,17837,811,logistics-rules-to-optimization
data-to-d3,complete,True,not_run,gpt-4.1,33.41302025318146,11.398267842829227,9.12768967449665,2,1,21047,10137,3,19.55426760017872,11.01881654560566,8.535451054573059,31184,30368,816,d3-visualization
dialogue-parser,complete,True,not_run,gpt-4.1,68.78484784066677,15.432374738156796,6.796144783496857,2,1,6579,4032,3,20.12318478524685,14.611552022397518,5.511632762849331,10611,9928,683,dialogue-graph
drone-planning-control,complete,True,not_run,gpt-4.1,27.77303421497345,7.410611890256405,10.131986439228058,2,1,16335,12722,3,16.873544119298458,7.18532470613718,9.688219413161278,29057,28381,676,gen_drone-planning-control_1
dynamic-object-aware-egomotion,complete,True,not_run,gpt-4.1,34.82377500087023,8.742880642414093,9.546424850821495,2,1,6979,5365,3,17.343358397483826,8.427968792617321,8.915389604866505,12344,11607,737,gen_dynamic-object-aware-egomotion_1
energy-market-pricing,complete,True,not_run,gpt-4.1,28.330133095383644,10.263557150959969,8.556126616895199,2,1,12894,7661,3,18.199253261089325,10.045363917946815,8.15388934314251,20555,19820,735,locational-marginal-prices
energy-unit-commitment,complete,True,not_run,gpt-4.1,28.665925458073616,14.194296807050705,9.25881777703762,2,1,8557,6293,3,22.80958479642868,13.984960801899433,8.824623994529247,14850,13876,974,unit-commitment-operating-rules
enterprise-information-search,complete,True,not_run,gpt-4.1,21.79477734863758,9.17268754541874,7.247998781502247,2,1,9786,5556,3,15.610065512359142,8.807625524699688,6.802439987659454,15342,14661,681,gen_enterprise-information-search_1
exceltable-in-ppt,complete,True,not_run,gpt-4.1,88.25873104482889,12.072990372776985,10.688401147723198,2,1,10474,11861,3,21.985465072095394,11.879699721932411,10.105765350162983,22335,21548,787,pptx
exoplanet-detection-period,complete,True,not_run,gpt-4.1,79.1732028722763,16.028170987963676,12.97188900411129,2,1,13232,6403,3,28.07735002785921,15.593530587852001,12.48381944000721,19635,18769,866,gen_exoplanet-detection-period_1
fix-build-agentops,complete,True,not_run,gpt-4.1,26.81681364774704,8.559698261320591,7.128366589546204,2,1,7899,5308,3,14.872019745409489,8.356230720877647,6.515789024531841,13207,12642,565,gen_fix-build-agentops_1
fix-build-google-auto,complete,True,not_run,gpt-4.1,29.12146044522524,9.132294937968254,14.6873909085989,2,1,7957,4957,3,22.971049889922142,8.924060679972172,14.04698920994997,12914,12139,775,gen_fix-build-google-auto_1
fix-druid-loophole-cve,complete,True,not_run,gpt-4.1,62.61046964675188,9.351415559649467,8.552891880273819,2,1,8771,6005,3,17.174753472208977,9.035016499459743,8.139736972749233,14776,14062,714,gen_fix-druid-loophole-cve_1
flink-query,complete,True,not_run,gpt-4.1,68.86777535825968,10.938857167959213,7.91929318010807,2,1,10452,8904,3,17.850014120340347,10.579246364533901,7.270767755806446,19356,18660,696,senior-data-engineer
jpg-ocr-stat,complete,True,not_run,gpt-4.1,40.19412936270237,15.072941944003105,9.09810570627451,2,1,15611,7673,3,23.397449545562267,14.643125422298908,8.754324123263359,23284,22518,766,gen_jpg-ocr-stat_1
